"split","source_split","label_id","class_name","scene_image_id","seat_position","modality","label_provenance","image_rel"
"test","test","0","empty","100","2","synthetic_grayscale_ir","official_filename_and_class_folder","data/dms/rear_occupancy_sviro/images/test/empty/i3_test_imageID_100_seatPosition_2_GT_0.png"
"test","test","0","empty","102","2","synthetic_grayscale_ir","official_filename_and_class_folder","data/dms/rear_occupancy_sviro/images/test/empty/i3_test_imageID_102_seatPosition_2_GT_0.png"
"test","test","0","empty","104","2","synthetic_grayscale_ir","official_filename_and_class_folder","data/dms/rear_occupancy_sviro/images/test/empty/i3_test_imageID_104_seatPosition_2_GT_0.png"
"test","test","0","empty","106","0","synthetic_grayscale_ir","official_filename_and_class_folder","data/dms/rear_occupancy_sviro/images/test/empty/i3_test_imageID_106_seatPosition_0_GT_0.png"
"test","test","0","empty","10","0","synthetic_grayscale_ir","official_filename_and_class_folder","data/dms/rear_occupancy_sviro/images/test/empty/i3_test_imageID_10_seatPosition_0_GT_0.png"
"test","test","0","empty","113","2","synthetic_grayscale_ir","official_filename_and_class_folder","data/dms/rear_occupancy_sviro/images/test/empty/i3_test_imageID_113_seatPosition_2_GT_0.png"
"test","test","0","empty","116","0","synthetic_grayscale_ir","official_filename_and_class_folder","data/dms/rear_occupancy_sviro/images/test/empty/i3_test_imageID_116_seatPosition_0_GT_0.png"
"test","test","0","empty","118","2","synthetic_grayscale_ir","official_filename_and_class_folder","data/dms/rear_occupancy_sviro/images/test/empty/i3_test_imageID_118_seatPosition_2_GT_0.png"
"test","test","0","empty","122","2","synthetic_grayscale_ir","official_filename_and_class_folder","data/dms/rear_occupancy_sviro/images/test/empty/i3_test_imageID_122_seatPosition_2_GT_0.png"
"test","test","0","empty","123","0","synthetic_grayscale_ir","official_filename_and_class_folder","data/dms/rear_occupancy_sviro/images/test/empty/i3_test_imageID_123_seatPosition_0_GT_0.png"
"test","test","0","empty","124","2","synthetic_grayscale_ir","official_filename_and_class_folder","data/dms/rear_occupancy_sviro/images/test/empty/i3_test_imageID_124_seatPosition_2_GT_0.png"
"test","test","0","empty","12","2","synthetic_grayscale_ir","official_filename_and_class_folder","data/dms/rear_occupancy_sviro/images/test/empty/i3_test_imageID_12_seatPosition_2_GT_0.png"
"test","test","0","empty","136","2","synthetic_grayscale_ir","official_filename_and_class_folder","data/dms/rear_occupancy_sviro/images/test/empty/i3_test_imageID_136_seatPosition_2_GT_0.png"
