"split","scene_name","sample_token","image_path","annotation_token","class_id","class_name","source_category","visibility_token","center_x_m","center_y_m","center_z_m","distance_m","within_10m","bbox_x1","bbox_y1","bbox_x2","bbox_y2","label_provenance"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","6b89da9bf1f84fd6a5fbe1c3b236f809","0","person","human.pedestrian.adult","2","21.1410","0.5475","35.5499","41.3647","0","1547.07","480.16","1592.24","542.55","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","924ee6ac1fed440a9d9e3720aac635a0","2","car","vehicle.car","3","37.5902","0.7376","63.8319","74.0816","0","1504.60","489.24","1600.00","523.64","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","70af124fceeb433ea73a79537e4bea9e","0","person","human.pedestrian.adult","2","20.5680","0.5317","37.8120","43.0474","0","1487.39","478.24","1523.26","540.99","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","e4a3582721c34f528e3367f0bda9485d","0","person","human.pedestrian.adult","4","-5.8798","-0.0620","58.9558","59.2484","0","680.73","472.69","699.27","507.78","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","fcb2332977ed4203aa4b7e04a538e309","8","obstacle","movable_object.barrier","4","7.9567","0.7952","25.0834","26.3272","0","1188.11","501.17","1250.39","564.68","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","5b990ac640bf498ca7fd55eaf85d3e12","8","obstacle","movable_object.barrier","4","8.0673","0.7624","27.1064","28.2916","0","1165.17","499.39","1223.33","556.95","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","16140fbf143d4e26a4a7613cbd3aa0e8","2","car","vehicle.car","4","6.1156","0.3537","34.5523","35.0911","0","1002.68","473.89","1082.97","538.90","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","54939f11a73d4398b14aeef500bf0c23","0","person","human.pedestrian.adult","2","19.6150","0.3472","60.7079","63.7990","0","1214.38","480.53","1236.67","517.19","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","83d881a6b3d94ef3a3bc3b585cc514f8","3","truck","vehicle.truck","4","-4.4269","-0.4574","14.8448","15.4976","0","62.56","203.35","622.30","679.09","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","a7bd5bb89e27455bbb3dba89a576b6a1","8","obstacle","movable_object.barrier","4","9.6925","0.5537","41.8122","42.9245","0","1092.70","492.99","1127.80","524.30","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","fbd9d8c939b24f0eb6496243a41e8c41","8","obstacle","movable_object.barrier","4","8.2542","0.7262","31.0692","32.1552","0","1129.10","497.55","1178.01","546.30","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","cc636a58e27e446cbdd030c14f3718fd","8","obstacle","movable_object.barrier","4","7.1543","0.8728","15.0447","16.6820","0","1355.20","515.56","1490.88","621.36","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","77519174b48f4853a895f58bb8f98661","0","person","human.pedestrian.adult","2","20.3066","0.5666","35.3772","40.7949","0","1521.87","478.86","1565.03","545.48","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","fcc5b4b5c4724179ab24962a39ca6d65","0","person","human.pedestrian.adult","3","20.8975","0.5327","41.6497","46.6014","0","1435.40","481.64","1468.32","534.29","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","cda0a9085607438c9b1ea87f4360dd64","2","car","vehicle.car","4","3.4564","0.3381","39.8945","40.0453","0","895.46","477.20","958.69","530.07","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","e865152aaa194f22b97ad0078c012b21","8","obstacle","movable_object.barrier","4","8.3522","0.6644","33.1284","34.1715","0","1112.22","494.08","1160.34","541.14","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","7962506dbc24423aa540a5e4c7083dad","8","obstacle","movable_object.barrier","2","9.7853","0.4708","45.8197","46.8553","0","1072.40","491.70","1101.64","517.87","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","a6f7d4bb60374f868144c5ba4431bf4c","2","car","vehicle.car","3","29.7674","0.5711","64.4761","71.0182","0","1345.25","484.44","1458.61","521.64","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","f1ae3f713ba946069fa084a6b8626fbf","8","obstacle","movable_object.barrier","4","7.0349","0.8866","10.9462","13.0420","0","1525.31","525.86","1600.00","676.48","official_3d_box_projected_to_cam_front"
"train","scene-0061","ca9a282c9e77460f8360f564131a8af5","data/fcw/images/nuscenes_mini/train/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402927612460.jpg","d7af8ede316546f68d4ab4f3dbf03f88","8","obstacle","movable_object.barrier","4","7.8178","0.8000","23.0900","24.3907","0","1214.08","503.31","1278.84","570.32","official_3d_box_projected_to_cam_front"
